data,SC,AM,MG,MS,TO,AC,DF,GO,PR,RJ,RN,RR,RS
2020-07-29,4.0,,,3.0,5.0,,,2.0,,,,1.0,
2020-07-30,3.0,,,2.0,,,,4.0,,,,1.0,5.0
2020-07-31,5.0,,,1.0,,4.0,,3.0,,,,,2.0
2020-08-01,1.0,,,2.0,,5.0,,,,3.0,,,4.0
2020-08-02,3.0,,,1.0,5.0,2.0,,,,,,,4.0
2020-08-03,2.0,,,1.0,5.0,4.0,,,,,,,3.0
2020-08-04,5.0,,,1.0,,4.0,,,3.0,,,,2.0
2020-08-05,1.0,,3.0,5.0,,2.0,,,,,,,4.0
2020-08-06,2.0,,1.0,4.0,,,,,,,3.0,,5.0
2020-08-07,1.0,,2.0,3.0,,,,,,,4.0,,5.0
2020-08-08,4.0,,2.0,1.0,,,5.0,,,,,,3.0
2020-08-09,3.0,5.0,1.0,2.0,,,,,,,,,4.0
2020-08-10,2.0,3.0,1.0,,5.0,,,,,,,,4.0
2020-08-11,1.0,2.0,3.0,4.0,5.0,,,,,,,,
